"Date","GDP"
"2019-07-01",63022
"2019-10-01",63360
"2020-01-01",62416
"2020-04-01",57449
"2020-07-01",61915
"2020-10-01",62554
"2021-01-01",63428
"2021-04-01",64392
"2021-07-01",64877
"2021-10-01",65986
"2022-01-01",65779
"2022-04-01",65760
"2022-07-01",66115
"2022-10-01",66575
"2023-01-01",66967
"2023-04-01",67295
"2023-07-01",67916
"2023-10-01",68351
"2024-01-01",68549
"2024-04-01",68977
"2024-07-01",69399
